,geo,Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
24,brn,Brunei,127581.0,98965.0,99676.0,97159.0,94839.0,90647.0,77857.0,75773.0,73250.0,72633.0,71231.0,71405.0,72705.0,70910.0,71176.0,72446.0,72695.0,69941.0,67984.0,68542.0,69023.0,69485.0,70771.0,71484.0,70617.0,69787.0,71843.0,71052.0,68856.0,66850.0,67751.0,69389.0,69092.0,66715.0,64192.0,63149.0,60866.0,60996.0,60389.0,62100.0,62702.0
25,bgr,Bulgaria,12411.0,12770.0,13221.0,13013.0,13486.0,13127.0,13522.0,13597.0,13566.0,13379.0,12109.0,11197.0,10495.0,10422.0,10648.0,11001.0,11626.0,10037.0,10537.0,9719.0,10234.0,10838.0,11735.0,12438.0,13340.0,14402.0,15499.0,16637.0,17774.0,17285.0,17496.0,18024.0,18193.0,18355.0,18807.0,19683.0,20579.0,21456.0,22279.0,23266.0,22500.0
26,bfa,Burkina Faso,921.0,941.0,941.0,908.0,901.0,994.0,1048.0,1020.0,1053.0,1050.0,1018.0,1081.0,1054.0,1062.0,1047.0,1076.0,1162.0,1202.0,1254.0,1309.0,1297.0,1344.0,1362.0,1427.0,1448.0,1527.0,1575.0,1591.0,1633.0,1631.0,1716.0,1776.0,1835.0,1884.0,1908.0,1925.0,1981.0,2044.0,2120.0,2178.0,2134.0
27,bdi,Burundi,1034.0,1098.0,1064.0,1067.0,1039.0,1131.0,1150.0,1165.0,1187.0,1175.0,1185.0,1216.0,1202.0,1105.0,1045.0,948.0,861.0,839.0,870.0,850.0,828.0,826.0,840.0,805.0,817.0,799.0,815.0,816.0,828.0,832.0,846.0,853.0,863.0,877.0,886.0,825.0,795.0,774.0,762.0,752.0,720.0
28,khm,Cambodia,1518.0,1496.0,1562.0,1624.0,1698.0,1771.0,1815.0,1714.0,1694.0,1673.0,1615.0,1639.0,1642.0,1592.0,1629.0,1655.0,1668.0,1687.0,1698.0,1824.0,1908.0,1986.0,2037.0,2128.0,2261.0,2467.0,2630.0,2787.0,2855.0,2799.0,2791.0,2867.0,3023.0,3192.0,3364.0,3544.0,3734.0,3928.0,4159.0,4389.0,4213.0
29,cmr,Cameroon,3994.0,4164.0,4348.0,4578.0,4803.0,4772.0,4389.0,4022.0,3757.0,3534.0,3223.0,3009.0,2831.0,2533.0,2515.0,2531.0,2572.0,2636.0,2683.0,2727.0,2751.0,2796.0,2838.0,2889.0,3003.0,2982.0,3002.0,3064.0,3085.0,3067.0,3086.0,3127.0,3181.0,3263.0,3363.0,3459.0,3524.0,3555.0,3604.0,3642.0,3452.0
30,can,Canada,29680.0,30224.0,28953.0,29500.0,30896.0,32266.0,32782.0,33674.0,34860.0,35073.0,34641.0,33499.0,33403.0,33917.0,35056.0,35629.0,35830.0,34111.0,34775.0,35864.0,37278.0,37394.0,38255.0,39357.0,40518.0,42142.0,43456.0,45992.0,45955.0,44103.0,44963.0,45926.0,46231.0,46810.0,47672.0,47630.0,47565.0,48490.0,48780.0,48887.0,45711.0
31,cpv,Cape Verde,1320.0,1401.0,1410.0,1510.0,1532.0,1626.0,1633.0,1664.0,1722.0,1779.0,1749.0,1731.0,1869.0,1974.0,2288.0,2547.0,2769.0,3011.0,3320.0,3623.0,4065.0,4084.0,4229.0,4337.0,4709.0,4965.0,5291.0,6018.0,6341.0,6186.0,6200.0,6366.0,6354.0,6323.0,6282.0,6267.0,6483.0,6643.0,6864.0,7172.0,6093.0
32,caf,Central African Republic,1439.0,1423.0,1411.0,1292.0,1341.0,1344.0,1361.0,1265.0,1259.0,1256.0,1202.0,1165.0,1061.0,1034.0,1054.0,1099.0,1028.0,1055.0,1078.0,1091.0,1040.0,1063.0,1078.0,999.0,1038.0,1027.0,1055.0,1083.0,1085.0,1161.0,1201.0,1243.0,1300.0,825.0,823.0,853.0,884.0,913.0,933.0,945.0,928.0
33,tcd,Chad,787.0,709.0,718.0,797.0,836.0,899.0,934.0,942.0,990.0,987.0,1004.0,1055.0,1104.0,901.0,961.0,941.0,930.0,949.0,980.0,939.0,897.0,965.0,1007.0,1112.0,1430.0,1618.0,1572.0,1570.0,1565.0,1578.0,1733.0,1677.0,1765.0,1804.0,1866.0,1857.0,1687.0,1587.0,1576.0,1580.0,1520.0
